taxon_code,gbif_accepted_taxon_id,gbif_accepted_scientific_name,habit
Neurolaena lobata-NEURLO-NEUL,7545076,Neurolaena lobata,Freestanding
Ochroma pyramidale-OCHRPY-OCHP,3152240,Ochroma pyramidale,Freestanding
Ocotea leptobotra-OCOTCE-OCOC,4179703,Ocotea leptobotra,Freestanding
Ocotea oblonga-OCOTOB-OCOO,7304263,Ocotea oblonga,Freestanding
Ocotea puberula-OCOTPU-OCOP,7304142,Ocotea puberula,Freestanding
Ocotea whitei-OCOTWH-OCOS,4180728,Ocotea whitei,Freestanding
Oenocarpus mapora-OENOMA-OENM,2735446,Oenocarpus mapora,Freestanding
Oreopanax capitatus-OREOCA-OREC,3036624,Oreopanax capitatus,Freestanding
Ormosia amazonica-ORMOAM-ORMA,5355607,Ormosia amazonica,Freestanding
Ormosia coccinea-ORMOCR-ORMC,5355587,Ormosia coccinea,Freestanding
Ormosia macrocalyx-ORMOMA-ORMM,5355476,Ormosia macrocalyx,Freestanding
Ormosia panamensis-ORMOPA-ORMP,5355604,Ormosia panamensis,Freestanding
Ouratea lucens-OURALU-OURL,7326730,Ouratea lucens,Freestanding
Oxandra panamensis-OXANPA,3154745,Oxandra panamensis,Freestanding
Pachira aquatica-POCHAQ-PACA,3152235,Pachira aquatica,Freestanding
Pachira sessilis-POCHSE-BOMS,4073559,Pachira sessilis,Freestanding
Palicourea acuminata-PSYCAC-PYAC,7763101,Palicourea acuminata,Freestanding
Palicourea brachiata-PSYCB1-PYB1,8416596,Palicourea brachiata,Freestanding
Palicourea cyanococca-PSYCPI-PYPI,10934022,Palicourea cyanococca,Freestanding
